cfg.bn,cfg.lr,cfg.name,cfg.epochs,cfg.dataset,cfg.project,cfg.img_size,cfg.patience,cfg.n_classes,cfg.batch_size,cfg.grey_scale,cfg.pool_sigma,cfg.kernel_size,cfg.pool_stride,cfg.weight_decay,cfg.max_rot_order,cfg.activation_type,cfg.layers_per_block,cfg.channels_per_block,cfg.invariant_channels,test_acc__n,test_acc__mean,test_acc__std,test_acc__ci95,test_acc__min,test_acc__max,test_acc__best,test_acc__best_run,test_acc__best_seed,test_loss__n,test_loss__mean,test_loss__std,test_loss__ci95,test_loss__min,test_loss__max,test_loss__best,test_loss__best_run,test_loss__best_seed,test_invar_error__n,test_invar_error__mean,test_invar_error__std,test_invar_error__ci95,test_invar_error__min,test_invar_error__max,test_invar_error__best,test_invar_error__best_run,test_invar_error__best_seed
IIDbn,0.0001,HNet_experiment,310,mnist_rot,mnist_rot_first_try,64,25,10,32,True,0.66,5,2,1e-05,2,fourier_relu,1,"(64, 128, 256, 512)",1024,10,0.9863740026950836,0.00041041801632361267,0.0002935953623044518,0.9856799840927124,0.9870399832725524,0.9870399832725524,s32afs6s,4,10,0.04664456360042095,0.0011603136341354129,0.0008300383712496937,0.04475492611527443,0.048353102058172226,0.04475492611527443,s32afs6s,4,10,0.4327910035848618,0.008660610861268677,0.006195427789376403,0.4181438088417053,0.44642552733421326,0.44642552733421326,yci4i1cm,8
FieldNorm,0.0001,HNet_experiment,310,mnist_rot,mnist_rot_first_try,64,25,10,32,True,0.66,5,2,1e-05,2,fourier_relu,1,"(64, 128, 256, 512)",1024,9,0.9653355611695184,0.001323966036024223,0.0010176903845718662,0.963540017604828,0.9678000211715698,0.9678000211715698,7lkox2n2,6,9,0.11515076955159505,0.003557197807943438,0.0027343042847497363,0.10835213959217072,0.11906102299690248,0.10835213959217072,7lkox2n2,6,9,0.21782050861252678,0.015154918004292806,0.011649101194663627,0.19118553400039673,0.2342926859855652,0.2342926859855652,cp4glhnq,5
IIDbn,0.0001,HNet_experiment,310,mnist_rot,mnist_rot_first_try,64,25,10,32,True,0.66,5,2,1e-05,2,gated_relu,1,"(64, 128, 256, 512)",1024,9,0.9798777831925286,0.0003040502392649166,0.00023371370300092782,0.97953999042511,0.9804400205612184,0.9804400205612184,04fy9svo,0,9,0.06902673343817393,0.001411279005380905,0.0010848050740313831,0.06702978909015656,0.07083561271429062,0.06702978909015656,04fy9svo,0,9,0.47002990378273857,0.008743967895829144,0.006721208708127015,0.4601133167743683,0.48327872157096863,0.48327872157096863,k1bip7vh,3
Normbn,0.0001,HNet_experiment,310,mnist_rot,mnist_rot_first_try,64,25,10,32,True,0.66,5,2,1e-05,2,gated_relu,1,"(64, 128, 256, 512)",1024,11,0.9738272645256736,0.0013042531605685645,0.0008762091956592653,0.9704399704933168,0.9755399823188782,0.9755399823188782,wm83dfjx,6,11,0.09089883349158547,0.0030421594001984542,0.0020437504939249344,0.08575638383626938,0.09737344831228256,0.08575638383626938,wm83dfjx,6,11,0.4264738370071758,0.021878309908457013,0.014698048589674464,0.4119308888912201,0.4832279086112976,0.4832279086112976,6t8q11jh,0
FieldNorm,0.0001,HNet_experiment,310,mnist_rot,mnist_rot_first_try,64,25,10,32,True,0.66,5,2,1e-05,2,gated_relu,1,"(64, 128, 256, 512)",1024,10,0.9530759990215302,0.0008127859092724962,0.0005814320132590209,0.9514999985694884,0.954200029373169,0.954200029373169,5sm6qnu8,2,10,0.15282011777162552,0.0022447733503125292,0.0016058141184443603,0.15043021738529205,0.15796206891536713,0.15043021738529205,humhe0by,5,10,0.1602159783244133,0.004757901992542035,0.003403598048210448,0.15082311630249023,0.1687292754650116,0.1687292754650116,7gemt81d,1
IIDbn,0.0001,HNet_experiment,310,mnist_rot,mnist_rot_first_try,64,25,10,32,True,0.66,5,2,1e-05,2,norm_relu,1,"(64, 128, 256, 512)",1024,10,0.9542260110378266,0.0014649949210902948,0.0010479942339873861,0.952180027961731,0.9564200043678284,0.9564200043678284,36q7ixx1,3,10,0.16765441447496415,0.009247450614954326,0.006615227659862938,0.1557411551475525,0.18462398648262024,0.1557411551475525,1ri9okdl,5,10,0.6150307774543762,0.009309504869601085,0.006659618599468236,0.6021023392677307,0.6321014165878296,0.6321014165878296,eelukikw,7
Normbn,0.0001,HNet_experiment,310,mnist_rot,mnist_rot_first_try,64,25,10,32,True,0.66,5,2,1e-05,2,norm_relu,1,"(64, 128, 256, 512)",1024,10,0.9404659986495971,0.0022950362314348876,0.0016417700175683126,0.9359800219535828,0.9423400163650512,0.9423400163650512,wd6tgjab,0,10,0.20748278945684434,0.007613718339066278,0.00544652599382881,0.19775252044200897,0.21921947598457336,0.19775252044200897,e7dxzlzr,7,10,0.8571303904056549,0.011442424170312727,0.008185417151071841,0.8434391021728516,0.8818172216415405,0.8818172216415405,nd8tpw1m,9
FieldNorm,0.0001,HNet_experiment,310,mnist_rot,mnist_rot_first_try,64,25,10,32,True,0.66,5,2,1e-05,2,norm_relu,1,"(64, 128, 256, 512)",1024,10,0.10193799957633018,0.006317205132318165,0.004519056317722832,0.0972599983215332,0.11336000263690948,0.11336000263690948,hzqsduru,1,10,48.22640266418457,16.13286426007409,11.540755861239434,30.621990203857425,87.82247161865234,30.621990203857425,8i7vrce9,0,10,1.973604285012698e-05,5.965054593817609e-07,4.267142998071542e-07,1.889061240945011e-05,2.0418232452357188e-05,2.0418232452357188e-05,hzqsduru,1
IIDbn,0.0001,HNet_experiment,310,mnist_rot,mnist_rot_first_try,64,25,10,32,True,0.66,5,2,1e-05,2,norm_squash,1,"(64, 128, 256, 512)",1024,10,0.9723780035972596,0.0005436028542375487,0.0003888700558743599,0.9716399908065796,0.9732800126075744,0.9732800126075744,am0vcq28,9,10,0.09363076090812683,0.001324071346584521,0.0009471835817531589,0.09169846028089523,0.0957147181034088,0.09169846028089523,am0vcq28,9,10,0.32737294435501096,0.006341564251876613,0.004536481782121893,0.31654757261276245,0.3379475474357605,0.3379475474357605,qus2qpmc,5
Normbn,0.0001,HNet_experiment,310,mnist_rot,mnist_rot_first_try,64,25,10,32,True,0.66,5,2,1e-05,2,norm_squash,1,"(64, 128, 256, 512)",1024,10,0.9713999986648559,0.0003279561305298707,0.0002346056828240262,0.97079998254776,0.9719799757003784,0.9719799757003784,ylm4gcsn,4,10,0.09653253257274627,0.0013217364851860626,0.0009455133225273295,0.0948839634656906,0.09851853549480438,0.0948839634656906,ylm4gcsn,4,10,0.25441981852054596,0.007998165374234737,0.005721542835409558,0.24344179034233093,0.2677455544471741,0.2677455544471741,t4821i1y,7
FieldNorm,0.0001,HNet_experiment,310,mnist_rot,mnist_rot_first_try,64,25,10,32,True,0.66,5,2,1e-05,2,norm_squash,1,"(64, 128, 256, 512)",1024,10,0.9580840051174164,0.0012389207230742753,0.000886270495178937,0.956439971923828,0.9603400230407716,0.9603400230407716,jpiv74l0,4,10,0.13913796097040176,0.0037881607834436186,0.0027098869772950985,0.1325557976961136,0.14366775751113892,0.1325557976961136,jpiv74l0,4,10,0.2895158529281616,0.011463294796675726,0.008200347097772167,0.26934191584587097,0.304648756980896,0.304648756980896,d4fohdz5,0
